"canonical_smiles","scaffold","class_bin","pIC50_true","pred_pIC50"
"CCCS(=O)(=O)N(C)c1cc2cc(c1)C(=O)NC(C(O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)Cc1cccc(c1)OCCCCN2","O=C1NC(CC[NH2+]C2(c3ccccc3)CC2)Cc2cccc(c2)OCCCCNc2cccc1c2","1","8.6989698","8.949316024780273"
"CCc1ccc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCCn3cc(cc(N4CCCC4)c3=O)C(=O)N1)CC1(CCC1)O2","O=C1NC(CC[NH2+]C2CC3(CCC3)Oc3ccccc32)Cc2cccc(c2)CCCCn2cc1cc(N1CCCC1)c2=O","1","8.6020603","8.528599739074707"
"CC(C)c1cccc(C2([NH2+]CC(O)C3Cc4cccc(c4)OCCCCOc4cc(cc(N5CCCC5=O)c4)C(=O)N3)CC2)c1","O=C1NC(CC[NH2+]C2(c3ccccc3)CC2)Cc2cccc(c2)OCCCCOc2cc1cc(N1CCCC1=O)c2","1","9.0","8.494527816772461"
"CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2","O=C1NC(CC[NH2+]C2CC3(CCC3)Oc3ncccc32)Cc2cccc(c2)CCCn2cc1ccc2=O","1","8.5686359","8.340091705322266"
"COCc1cc2cc(n1)OCCCCOc1cccc(c1)CC(C(O)C[NH2+]C1(c3cccc(C(C)C)c3)CC1)NC2=O","O=C1NC(CC[NH2+]C2(c3ccccc3)CC2)Cc2cccc(c2)OCCCCOc2cc1ccn2","1","8.0457573","8.304702758789062"
"CCCOC1C[NH2+]C(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(C(O)CCC)C2=O)C1","O=C(NC(Cc1ccccc1)CC1CCC[NH2+]1)C(CCc1ccccc1)N1CCCC1=O","1","8.3279018","8.225128173828125"
"CC(=O)NC(Cc1ccc(F)c(C(F)(F)F)c1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21","c1ccc(CCCC[NH2+]C2CC3(CCC3)Oc3ncccc32)cc1","1","7.9586072","8.212326049804688"
"CCCS(=O)(=O)N(C)c1cc2cc(c1)C(=O)NC(C(O)C[NH2+]Cc1cccc(C(C)C)c1)Cc1cccc(c1)OCCCCN2","O=C1NC(CC[NH2+]Cc2ccccc2)Cc2cccc(c2)OCCCCNc2cccc1c2","1","9.0","8.202230453491211"
"CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C1Cc3cccc(c3)CCCCn3cc(ccc3=O)C(=O)N1)CC1(CCC1)O2","O=C1NC(CC[NH2+]C2CC3(CCC3)Oc3ncccc32)Cc2cccc(c2)CCCCn2cc1ccc2=O","1","8.0132284","8.20047378540039"
"CC(C)SC(NC(=O)C(CC(O)C1COCc2cccc(c2)C(C)NC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(C)C)C(=O)NCc1ccccc1","O=C(CCCC1COCc2cccc(c2)CNC(=O)c2cccc(c2)C(=O)N1)NCC(=O)NCc1ccccc1","1","7.3010302","8.175091743469238"
